human_county,shp_county
Garmsar,Garmsar
Germi,Germi
Golpayegan,Golpayegan
Gomishan,Gomishan
Gonabad,Gonabad
Gorgan,Gorgan
Hamadan,Hamadan
Harsin,Harsin
Hashtrud,Hashtrud
Hendijan,Hendijan
Heris,Heris
Hirmand,Hirmand
Ilam,Ilam
Iranshahr,Iranshahr
Izeh,Izeh
Jahrom,Jahrom
Jam,Jam
Jask,Jask
Jiroft,Jiroft
Jolfa,Jolfa
Juybar,Juybar
Kalat,Kalat
Kamyaran,Kamyaran
Kangavar,Kangavar
Kashan,Kashan
Kashmar,Kashmar
Kavar,Kavar
Kazerun,Kazerun
Kerman,Kerman
Kermanshah,Kermanshah
Khaf,Khaf
Khalkhal,Khalkhal
Khansar,Khansar
Khash,Khash
Khatam,Khatam
Khodabandeh,Khodabandeh
Khomein,Khomein
Khonj,Khonj
Khoshab,Khoshab
Khoy,Khoy
Konarak,Konarak
Kuhdasht,Kuhdasht
Kuhrang,Kuhrang
Lahijan,Lahijan
Lali,Lali
Lamerd,Lamerd
Landeh,Landeh
Langrud,Langrud
Larestan,Larestan
Lenjan,Lenjan
Lordegan,Lordegan
Mahabad,Mahabad
Mahneshan,Mahneshan
Maku,Maku
Malard,Malard
Malayer,Malayer
Malekshahi,Malekshahi
Mamasani,Mamasani
Marand,Marand
Marivan,Marivan
Marvdasht,Marvdasht
Masal,Masal
Mehr,Mehr
Mehran,Mehran
Mehriz,Mehriz
Meybod,Meybod
Minab,Minab
Minudasht,Minudasht
Mirjaveh,Mirjaveh
Nahavand,Nahavand
Namin,Namin
Natanz,Natanz
Nehbandan,Nehbandan
Neka,Neka
Neyriz,Neyriz
Nir,Nir
Nur,Nur
Osku,Osku
Pakdasht,Pakdasht
Pardis,Pardis
Pasargad,Pasargad
Paveh,Paveh
Piranshahr,Piranshahr
Pishva,Pishva
Poldasht,Poldasht
Poldokhtar,Poldokhtar
Qazvin,Qazvin
Qeshm,Qeshm
Qom,Qom
Qorveh,Qorveh
Quchan,Quchan
Rafsanjan,Rafsanjan
Ramhormoz,Ramhormoz
Ramsar,Ramsar
Ramshir,Ramshir
Rasht,Rasht
Rashtkhar,Rashtkhar
Ravansar,Ravansar
Ravar,Ravar
Razan,Razan
Rigan,Rigan
Rostam,Rostam
Rudan,Rudan
Rudbar,Rudbar
Rudsar,Rudsar
Sabzevar,Sabzevar
Salmas,Salmas
Saman,Saman
Saqqez,Saqqez
Sarab,Sarab
Sarakhs,Sarakhs
Saravan,Saravan
Sarayan,Sarayan
Sarbaz,Sarbaz
Sardasht,Sardasht
Sari,Sari
Sarvestan,Sarvestan
Saveh,Saveh
Semirom,Semirom
Semnan,Semnan
Sepidan,Sepidan
Shabestar,Shabestar
Shadegan,Shadegan
Shaft,Shaft
Shahindej,Shahindej
Shahrekord,Shahrekord
Shahreza,Shahreza
Shahrud,Shahrud
Shazand,Shazand
Shirvan,Shirvan
Shush,Shush
Shushtar,Shushtar
Sirjan,Sirjan
Sirvan,Sirvan
Sonqor,Sonqor
Sorkheh,Sorkheh
Tabas,Tabas
Tabriz,Tabriz
Tafresh,Tafresh
Taft,Taft
Takab,Takab
Takestan,Takestan
Taleghan,Taleghan
Talesh,Talesh
Tangestan,Tangestan
Tonekabon,Tonekabon
Varamin,Varamin
Yazd,Yazd
Zabol,Zabol
Zahedan,Zahedan
Zanjan,Zanjan
Zarand,Zarand
