,county_en,province_en,Livestock_int_hist,Livestock_vac_hist,Pop_setting,count,county_count,Population,inf_rate,ses,inf_rate_100k
93,Ahvaz,Khuzestan,1,-1,1,2,55,1302591,1.54E-06,1,1.54E-01
94,Ahvaz,Khuzestan,1,0,0,2,55,1302591,1.54E-06,1,1.54E-01
95,Ahvaz,Khuzestan,1,0,-1,9,55,1302591,6.91E-06,1,6.91E-01
96,Ahvaz,Khuzestan,1,0,1,3,55,1302591,2.30E-06,1,2.30E-01
97,Ahvaz,Khuzestan,1,1,-1,9,55,1302591,6.91E-06,1,6.91E-01
98,Ahvaz,Khuzestan,1,1,1,1,55,1302591,7.68E-07,1,7.68E-02
99,Ajabshir,East Azerbaijan,-1,-1,-1,4,68,70852,5.65E-05,2,5.65E+00
100,Ajabshir,East Azerbaijan,-1,-1,1,1,68,70852,1.41E-05,2,1.41E+00
101,Ajabshir,East Azerbaijan,-1,0,-1,1,68,70852,1.41E-05,2,1.41E+00
102,Ajabshir,East Azerbaijan,-1,0,1,2,68,70852,2.82E-05,2,2.82E+00
103,Ajabshir,East Azerbaijan,-1,1,-1,1,68,70852,1.41E-05,2,1.41E+00
104,Ajabshir,East Azerbaijan,0,1,-1,1,68,70852,1.41E-05,2,1.41E+00
105,Ajabshir,East Azerbaijan,0,0,-1,3,68,70852,4.23E-05,2,4.23E+00
106,Ajabshir,East Azerbaijan,0,1,-1,1,68,70852,1.41E-05,2,1.41E+00
107,Ajabshir,East Azerbaijan,1,0,-1,17,68,70852,0.000239937,2,2.40E+01
108,Ajabshir,East Azerbaijan,1,0,1,1,68,70852,1.41E-05,2,1.41E+00
109,Ajabshir,East Azerbaijan,1,1,-1,36,68,70852,0.000508101,2,5.08E+01
110,Alborz,Qazvin,-1,-1,-1,1,149,242865,4.12E-06,2,4.12E-01
111,Alborz,Qazvin,-1,-1,1,5,149,242865,2.06E-05,2,2.06E+00
112,Alborz,Qazvin,-1,0,-1,8,149,242865,3.29E-05,2,3.29E+00
113,Alborz,Qazvin,-1,0,1,32,149,242865,0.00013176,2,1.32E+01
114,Alborz,Qazvin,-1,1,-1,1,149,242865,4.12E-06,2,4.12E-01
115,Alborz,Qazvin,0,0,0,10,149,242865,4.12E-05,2,4.12E+00
116,Alborz,Qazvin,0,0,-1,2,149,242865,8.24E-06,2,8.24E-01
117,Alborz,Qazvin,0,0,1,13,149,242865,5.35E-05,2,5.35E+00
118,Alborz,Qazvin,0,0,1,2,149,242865,8.24E-06,2,8.24E-01
119,Alborz,Qazvin,1,-1,-1,1,149,242865,4.12E-06,2,4.12E-01
120,Alborz,Qazvin,1,-1,1,5,149,242865,2.06E-05,2,2.06E+00
121,Alborz,Qazvin,1,0,-1,24,149,242865,9.88E-05,2,9.88E+00
122,Alborz,Qazvin,1,0,1,25,149,242865,0.000102938,2,1.03E+01
123,Alborz,Qazvin,1,1,-1,10,149,242865,4.12E-05,2,4.12E+00
124,Alborz,Qazvin,1,1,1,10,149,242865,4.12E-05,2,4.12E+00
125,Aliabad,Golestan,-1,-1,-1,2,167,140709,1.42E-05,1,1.42E+00
126,Aliabad,Golestan,-1,0,-1,23,167,140709,0.000163458,1,1.63E+01
127,Aliabad,Golestan,-1,0,1,6,167,140709,4.26E-05,1,4.26E+00
128,Aliabad,Golestan,-1,1,-1,2,167,140709,1.42E-05,1,1.42E+00
129,Aliabad,Golestan,-1,1,1,1,167,140709,7.11E-06,1,7.11E-01
130,Aliabad,Golestan,0,0,-1,1,167,140709,7.11E-06,1,7.11E-01
131,Aliabad,Golestan,0,0,1,1,167,140709,7.11E-06,1,7.11E-01
132,Aliabad,Golestan,0,0,-1,1,167,140709,7.11E-06,1,7.11E-01
133,Aliabad,Golestan,0,0,1,1,167,140709,7.11E-06,1,7.11E-01
134,Aliabad,Golestan,1,-1,0,2,167,140709,1.42E-05,1,1.42E+00
135,Aliabad,Golestan,1,-1,-1,29,167,140709,0.000206099,1,2.06E+01
136,Aliabad,Golestan,1,-1,1,2,167,140709,1.42E-05,1,1.42E+00
137,Aliabad,Golestan,1,0,-1,36,167,140709,0.000255847,1,2.56E+01
138,Aliabad,Golestan,1,0,1,3,167,140709,2.13E-05,1,2.13E+00
139,Aliabad,Golestan,1,1,0,1,167,140709,7.11E-06,1,7.11E-01
140,Aliabad,Golestan,1,1,-1,50,167,140709,0.000355343,1,3.55E+01
141,Aliabad,Golestan,1,1,1,6,167,140709,4.26E-05,1,4.26E+00
142,Aligudarz,Lorestan,-1,-1,0,1,915,137534,7.27E-06,1,7.27E-01
143,Aligudarz,Lorestan,-1,-1,-1,5,915,137534,3.64E-05,1,3.64E+00
144,Aligudarz,Lorestan,-1,-1,1,14,915,137534,0.000101793,1,1.02E+01
145,Aligudarz,Lorestan,-1,0,0,1,915,137534,7.27E-06,1,7.27E-01
146,Aligudarz,Lorestan,-1,0,-1,4,915,137534,2.91E-05,1,2.91E+00
147,Aligudarz,Lorestan,-1,0,1,38,915,137534,0.000276295,1,2.76E+01
148,Aligudarz,Lorestan,-1,1,-1,1,915,137534,7.27E-06,1,7.27E-01
149,Aligudarz,Lorestan,-1,1,1,2,915,137534,1.45E-05,1,1.45E+00
150,Aligudarz,Lorestan,0,-1,1,1,915,137534,7.27E-06,1,7.27E-01
151,Aligudarz,Lorestan,0,0,-1,3,915,137534,2.18E-05,1,2.18E+00
152,Aligudarz,Lorestan,0,0,1,1,915,137534,7.27E-06,1,7.27E-01
153,Aligudarz,Lorestan,1,-1,0,117,915,137534,0.000850699,1,8.51E+01
154,Aligudarz,Lorestan,1,-1,-1,376,915,137534,0.002733869,1,2.73E+02
155,Aligudarz,Lorestan,1,-1,1,41,915,137534,0.000298108,1,2.98E+01
156,Aligudarz,Lorestan,1,0,0,15,915,137534,0.000109064,1,1.09E+01
157,Aligudarz,Lorestan,1,0,-1,81,915,137534,0.000588945,1,5.89E+01
158,Aligudarz,Lorestan,1,0,1,10,915,137534,7.27E-05,1,7.27E+00
159,Aligudarz,Lorestan,1,1,0,28,915,137534,0.000203586,1,2.04E+01
160,Aligudarz,Lorestan,1,1,-1,160,915,137534,0.001163349,1,1.16E+02
161,Aligudarz,Lorestan,1,1,1,16,915,137534,0.000116335,1,1.16E+01
162,Amlash,Gilan,-1,0,-1,1,45,43225,2.31E-05,3,2.31E+00
163,Amlash,Gilan,-1,0,1,12,45,43225,0.000277617,3,2.78E+01
164,Amlash,Gilan,1,-1,0,1,45,43225,2.31E-05,3,2.31E+00
165,Amlash,Gilan,1,-1,-1,5,45,43225,0.000115674,3,1.16E+01
166,Amlash,Gilan,1,0,-1,12,45,43225,0.000277617,3,2.78E+01
167,Amlash,Gilan,1,1,-1,14,45,43225,0.000323887,3,3.24E+01
